name,duration,elapsed
../audio/2024-09-27-11-10-03_small.wav,       1.00,      1.13
../audio/2024-09-27-11-10-04_small.wav,       2.00,   0.03589
../audio/2024-09-27-11-11-59_small.wav,       1.00,   0.01653
../audio/2024-09-27-11-12-00_small.wav,       2.00,   0.03198
../audio/2024-09-27-11-12-01_small.wav,       3.00,   0.03391
../audio/2024-09-27-11-12-02_small.wav,       4.00,   0.03551
../audio/2024-09-27-11-12-03_small.wav,       5.00,   0.03329
../audio/2024-09-27-11-12-04_small.wav,       6.00,   0.03578
../audio/2024-09-27-11-12-05_small.wav,       7.00,   0.03116
../audio/2024-09-27-11-12-06_small.wav,       8.00,    0.0323
../audio/2024-09-27-11-12-07_small.wav,       9.00,   0.03638
../audio/2024-09-27-11-12-08_large.wav,      10.00,   0.03368
../audio/2024-09-27-11-12-08_small.wav,      10.00,   0.04252
../audio/2024-09-27-11-12-09_large.wav,      10.73,   0.06755
../audio/2024-09-27-11-12-09_small.wav,      10.73,   0.07067
../audio/2024-09-27-11-15-29_small.wav,       1.00,   0.02755
../audio/2024-09-27-11-15-30_small.wav,       2.00,   0.03851
../audio/2024-09-27-11-15-31_small.wav,       2.50,   0.03043
../audio/2024-09-27-11-15-32_small.wav,       4.00,   0.03075
../audio/2024-09-27-11-15-33_small.wav,       5.00,   0.02563
../audio/2024-09-27-11-15-34_small.wav,       6.00,   0.03789
../audio/2024-09-27-11-15-35_small.wav,       7.00,   0.03158
../audio/2024-09-27-11-15-36_small.wav,       7.65,   0.03318
../audio/2024-09-27-11-16-24_small.wav,       0.50,   0.01355
../audio/2024-09-27-11-16-25_small.wav,       2.00,   0.02994
../audio/2024-09-27-11-16-26_small.wav,       2.50,   0.03127
../audio/2024-09-27-11-16-27_small.wav,       4.00,   0.02874
../audio/2024-09-27-11-16-28_small.wav,       4.50,   0.03299
../audio/2024-09-27-11-16-29_small.wav,       5.65,    0.0335
../audio/2024-09-27-11-21-05_small.wav,       0.50,   0.01532
../audio/2024-09-27-11-21-06_small.wav,       1.00,    0.0339
../audio/2024-09-27-11-21-07_small.wav,       1.50,   0.02951
../audio/2024-09-27-11-21-08_small.wav,       2.00,   0.02984
../audio/2024-09-27-11-21-10_small.wav,       3.00,   0.02936
../audio/2024-09-27-11-21-11_small.wav,       6.00,   0.02743
../audio/2024-09-27-11-21-12_small.wav,       7.00,   0.03941
../audio/2024-09-27-11-21-13_small.wav,       8.00,   0.03447
../audio/2024-09-27-11-21-14_small.wav,       9.00,   0.03502
../audio/2024-09-27-11-21-16_small.wav,       9.50,   0.03522
../audio/2024-09-27-11-21-18_large.wav,      10.00,   0.03537
../audio/2024-09-27-11-21-18_small.wav,      10.00,   0.03728
../audio/2024-09-27-11-21-22_large.wav,      11.50,    0.1011
../audio/2024-09-27-11-21-22_small.wav,      11.50,   0.08641
../audio/2024-09-27-11-21-23_large.wav,      12.00,   0.07925
../audio/2024-09-27-11-21-23_small.wav,      12.00,   0.07078
../audio/2024-09-27-11-21-30_large.wav,      13.50,    0.1416
../audio/2024-09-27-11-21-30_small.wav,      13.50,    0.1341
../audio/2024-09-27-11-21-31_large.wav,      16.00,    0.1692
../audio/2024-09-27-11-21-31_small.wav,      16.00,    0.1563
../audio/2024-09-27-11-21-48_small.wav,       9.00,   0.03073
../audio/2024-09-27-11-21-49_large.wav,      18.00,   0.02809
../audio/2024-09-27-11-21-49_small.wav,      18.00,    0.0246
../audio/2024-09-27-11-21-50_large.wav,      21.00,   0.02657
../audio/2024-09-27-11-21-50_small.wav,      21.00,   0.02811
../audio/2024-09-27-11-21-51_large.wav,      22.00,   0.02688
../audio/2024-09-27-11-21-51_small.wav,      22.00,   0.03051
../audio/2024-09-27-11-21-52_large.wav,      23.00,   0.02951
../audio/2024-09-27-11-21-52_small.wav,      23.00,   0.02893
../audio/2024-09-27-11-21-53_large.wav,      24.00,   0.03135
../audio/2024-09-27-11-21-53_small.wav,      24.00,   0.03143
../audio/2024-09-27-11-21-54_large.wav,      25.00,   0.03154
../audio/2024-09-27-11-21-54_small.wav,      25.50,   0.03777
../audio/2024-09-27-11-21-55_large.wav,      27.00,   0.04119
../audio/2024-09-27-11-21-55_small.wav,      27.50,    0.4236
../audio/2024-09-27-11-21-56_large.wav,      29.00,    0.4196
../audio/2024-09-27-11-21-56_small.wav,      29.50,    0.4615
../audio/2024-09-27-11-21-57_large.wav,      31.00,    0.4694
../audio/2024-09-27-11-21-57_small.wav,      31.00,    0.4746
../audio/2024-09-27-11-21-58_large.wav,      33.00,    0.4871
../audio/2024-09-27-11-21-58_small.wav,      33.00,    0.5013
../audio/2024-09-27-11-21-59_large.wav,      34.50,    0.5265
../audio/2024-09-27-11-21-59_small.wav,      34.50,    0.5403
../audio/2024-09-27-11-24-26_small.wav,       0.50,   0.01639
../audio/2024-09-27-11-24-32_small.wav,       1.00,   0.01296
../audio/2024-09-27-11-24-33_small.wav,       1.50,   0.01101
../audio/2024-09-27-11-24-34_small.wav,       3.00,   0.03091
../audio/2024-09-27-11-24-35_small.wav,       4.00,   0.03207
../audio/2024-09-27-11-24-36_small.wav,       5.00,   0.03545
../audio/2024-09-27-11-24-37_small.wav,       6.00,   0.03412
../audio/2024-09-27-11-24-38_small.wav,       7.00,   0.03114
../audio/2024-09-27-11-24-39_small.wav,       8.00,   0.03742
../audio/2024-09-27-11-24-40_small.wav,       9.00,   0.04464
../audio/2024-09-27-11-24-41_large.wav,      10.00,   0.04283
../audio/2024-09-27-11-24-41_small.wav,      10.00,   0.03951
../audio/2024-09-27-11-24-42_small.wav,      11.50,   0.08061
../audio/2024-09-27-11-24-43_large.wav,      11.50,   0.08979
../audio/2024-09-27-11-24-44_large.wav,      13.00,   0.09803
../audio/2024-09-27-11-24-44_small.wav,      13.00,   0.09961
../audio/2024-09-27-11-24-45_small.wav,      14.50,    0.1501
../audio/2024-09-27-11-24-46_large.wav,      14.50,    0.1632
../audio/2024-09-27-11-24-47_large.wav,      16.00,    0.1583
../audio/2024-09-27-11-24-47_small.wav,      16.00,     0.154
