name,size,duration,elapsed
../audio/2024-09-27-11-10-03_small.wav,     187.54,      1.00,     0.679
../audio/2024-09-27-11-10-04_small.wav,     375.04,      2.00,    0.3442
../audio/2024-09-27-11-11-59_small.wav,     187.54,      1.00,    0.1495
../audio/2024-09-27-11-12-00_small.wav,     375.04,      2.00,    0.3702
../audio/2024-09-27-11-12-01_small.wav,     562.54,      3.00,      0.41
../audio/2024-09-27-11-12-02_small.wav,     750.04,      4.00,    0.5003
../audio/2024-09-27-11-12-03_small.wav,     937.54,      5.00,    0.5642
../audio/2024-09-27-11-12-04_small.wav,    1125.04,      6.00,    0.6139
../audio/2024-09-27-11-12-05_small.wav,    1312.54,      7.00,     0.555
../audio/2024-09-27-11-12-06_small.wav,    1500.04,      8.00,    0.5818
../audio/2024-09-27-11-12-07_small.wav,    1687.54,      9.00,    0.6483
../audio/2024-09-27-11-12-08_large.wav,    1875.04,     10.00,    0.6406
../audio/2024-09-27-11-12-08_small.wav,    1875.04,     10.00,     0.609
../audio/2024-09-27-11-12-09_large.wav,    2012.04,     10.73,    0.7049
../audio/2024-09-27-11-12-09_small.wav,    2012.04,     10.73,    0.6481
../audio/2024-09-27-11-15-29_small.wav,     187.54,      1.00,    0.3113
../audio/2024-09-27-11-15-30_small.wav,     375.04,      2.00,      0.38
../audio/2024-09-27-11-15-31_small.wav,     468.79,      2.50,    0.3799
../audio/2024-09-27-11-15-32_small.wav,     750.04,      4.00,    0.4054
../audio/2024-09-27-11-15-33_small.wav,     937.54,      5.00,     0.424
../audio/2024-09-27-11-15-34_small.wav,    1125.04,      6.00,    0.4308
../audio/2024-09-27-11-15-35_small.wav,    1312.54,      7.00,    0.4803
../audio/2024-09-27-11-15-36_small.wav,    1434.54,      7.65,    0.5002
../audio/2024-09-27-11-16-24_small.wav,      93.79,      0.50,    0.1575
../audio/2024-09-27-11-16-25_small.wav,     375.04,      2.00,    0.3203
../audio/2024-09-27-11-16-26_small.wav,     468.79,      2.50,    0.3645
../audio/2024-09-27-11-16-27_small.wav,     750.04,      4.00,    0.3701
../audio/2024-09-27-11-16-28_small.wav,     843.79,      4.50,      0.41
../audio/2024-09-27-11-16-29_small.wav,    1059.54,      5.65,    0.4953
../audio/2024-09-27-11-21-05_small.wav,      93.79,      0.50,    0.3177
../audio/2024-09-27-11-21-06_small.wav,     187.54,      1.00,    0.1567
../audio/2024-09-27-11-21-07_small.wav,     281.29,      1.50,    0.3263
../audio/2024-09-27-11-21-08_small.wav,     375.04,      2.00,    0.3422
../audio/2024-09-27-11-21-10_small.wav,     562.54,      3.00,    0.4314
../audio/2024-09-27-11-21-11_small.wav,    1125.04,      6.00,    0.5507
../audio/2024-09-27-11-21-12_small.wav,    1312.54,      7.00,    0.5502
../audio/2024-09-27-11-21-13_small.wav,    1500.04,      8.00,    0.5438
../audio/2024-09-27-11-21-14_small.wav,    1687.54,      9.00,    0.3731
../audio/2024-09-27-11-21-16_small.wav,    1781.29,      9.50,    0.3878
../audio/2024-09-27-11-21-18_large.wav,    1875.04,     10.00,    0.3689
../audio/2024-09-27-11-21-18_small.wav,    1875.04,     10.00,    0.3648
../audio/2024-09-27-11-21-22_large.wav,    2156.29,     11.50,    0.4074
../audio/2024-09-27-11-21-22_small.wav,    2156.29,     11.50,    0.3891
../audio/2024-09-27-11-21-23_large.wav,    2250.04,     12.00,    0.3678
../audio/2024-09-27-11-21-23_small.wav,    2250.04,     12.00,    0.3789
../audio/2024-09-27-11-21-30_large.wav,    2531.29,     13.50,    0.3652
../audio/2024-09-27-11-21-30_small.wav,    2531.29,     13.50,    0.3624
../audio/2024-09-27-11-21-31_large.wav,    3000.04,     16.00,    0.3752
../audio/2024-09-27-11-21-31_small.wav,    3000.04,     16.00,    0.3698
../audio/2024-09-27-11-21-48_small.wav,    1687.54,      9.00,    0.1651
../audio/2024-09-27-11-21-49_large.wav,    3375.04,     18.00,    0.1899
../audio/2024-09-27-11-21-49_small.wav,    3375.04,     18.00,     0.178
../audio/2024-09-27-11-21-50_large.wav,    3937.54,     21.00,    0.1884
../audio/2024-09-27-11-21-50_small.wav,    3937.54,     21.00,    0.1853
../audio/2024-09-27-11-21-51_large.wav,    4125.04,     22.00,    0.1941
../audio/2024-09-27-11-21-51_small.wav,    4125.04,     22.00,    0.2008
../audio/2024-09-27-11-21-52_large.wav,    4312.54,     23.00,     0.194
../audio/2024-09-27-11-21-52_small.wav,    4312.54,     23.00,    0.2209
../audio/2024-09-27-11-21-53_large.wav,    4500.04,     24.00,    0.3533
../audio/2024-09-27-11-21-53_small.wav,    4500.04,     24.00,    0.3692
../audio/2024-09-27-11-21-54_large.wav,    4687.54,     25.00,    0.3635
../audio/2024-09-27-11-21-54_small.wav,    4781.29,     25.50,    0.3543
../audio/2024-09-27-11-21-55_large.wav,    5062.54,     27.00,    0.3519
../audio/2024-09-27-11-21-55_small.wav,    5156.29,     27.50,    0.3614
../audio/2024-09-27-11-21-56_large.wav,    5437.54,     29.00,     0.395
../audio/2024-09-27-11-21-56_small.wav,    5531.29,     29.50,    0.3851
../audio/2024-09-27-11-21-57_large.wav,    5812.54,     31.00,    0.3898
../audio/2024-09-27-11-21-57_small.wav,    5812.54,     31.00,    0.3719
../audio/2024-09-27-11-21-58_large.wav,    6187.54,     33.00,    0.4435
../audio/2024-09-27-11-21-58_small.wav,    6187.54,     33.00,    0.3951
../audio/2024-09-27-11-21-59_large.wav,    6468.79,     34.50,    0.4847
../audio/2024-09-27-11-21-59_small.wav,    6468.79,     34.50,    0.5049
../audio/2024-09-27-11-24-26_small.wav,      93.79,      0.50,    0.3126
../audio/2024-09-27-11-24-32_small.wav,     187.54,      1.00,    0.1576
../audio/2024-09-27-11-24-33_small.wav,     281.29,      1.50,    0.1694
../audio/2024-09-27-11-24-34_small.wav,     562.54,      3.00,    0.3896
../audio/2024-09-27-11-24-35_small.wav,     750.04,      4.00,    0.3916
../audio/2024-09-27-11-24-36_small.wav,     937.54,      5.00,    0.4499
../audio/2024-09-27-11-24-37_small.wav,    1125.04,      6.00,    0.4798
../audio/2024-09-27-11-24-38_small.wav,    1312.54,      7.00,    0.4977
../audio/2024-09-27-11-24-39_small.wav,    1500.04,      8.00,    0.4997
../audio/2024-09-27-11-24-40_small.wav,    1687.54,      9.00,    0.4714
../audio/2024-09-27-11-24-41_large.wav,    1875.04,     10.00,    0.4887
../audio/2024-09-27-11-24-41_small.wav,    1875.04,     10.00,    0.5069
../audio/2024-09-27-11-24-42_small.wav,    2156.29,     11.50,    0.4833
../audio/2024-09-27-11-24-43_large.wav,    2156.29,     11.50,    0.4883
../audio/2024-09-27-11-24-44_large.wav,    2437.54,     13.00,    0.5102
../audio/2024-09-27-11-24-44_small.wav,    2437.54,     13.00,     0.484
../audio/2024-09-27-11-24-45_small.wav,    2718.79,     14.50,    0.5476
../audio/2024-09-27-11-24-46_large.wav,    2718.79,     14.50,      0.55
../audio/2024-09-27-11-24-47_large.wav,    3000.04,     16.00,      0.59
../audio/2024-09-27-11-24-47_small.wav,    3000.04,     16.00,    0.6116
../audio/2024-09-27-11-24-48_small.wav,    3281.29,     17.50,    0.6535
../audio/2024-09-27-11-24-49_large.wav,    3281.29,     17.50,     0.711
../audio/2024-09-27-12-40-05_small.wav,      93.79,      0.50,    0.3059
../audio/2024-09-27-12-40-06_small.wav,     187.54,      1.00,    0.1633
../audio/2024-09-27-12-40-08_small.wav,     281.29,      1.50,    0.1596
../audio/2024-09-27-12-40-09_small.wav,     375.04,      2.00,    0.1707
../audio/2024-09-27-12-40-10_small.wav,     562.54,      3.00,    0.3129
../audio/2024-09-27-12-40-12_small.wav,     843.79,      4.50,    0.3598
../audio/2024-09-27-12-40-13_small.wav,    1031.29,      5.50,    0.3906
../audio/2024-09-27-12-40-14_small.wav,    1312.54,      7.00,    0.4496
../audio/2024-09-27-12-40-16_small.wav,    1687.54,      9.00,    0.4402
../audio/2024-09-27-12-40-17_small.wav,    1875.04,     10.00,      0.46
../audio/2024-09-27-12-40-18_large.wav,    1875.04,     10.00,     0.443
../audio/2024-09-27-12-40-19_small.wav,     375.04,      2.00,    0.1649
../audio/2024-09-27-12-40-20_small.wav,     562.54,      3.00,    0.3611
../audio/2024-09-27-12-40-21_small.wav,     750.04,      4.00,    0.3577
../audio/2024-09-27-12-40-22_small.wav,     937.54,      5.00,    0.3726
../audio/2024-09-27-12-40-23_small.wav,    1125.04,      6.00,     0.354
../audio/2024-09-27-12-40-24_small.wav,    1312.54,      7.00,    0.3425
../audio/2024-09-27-12-40-25_small.wav,    1500.04,      8.00,    0.4263
../audio/2024-09-27-12-40-26_small.wav,    1687.54,      9.00,    0.4192
../audio/2024-09-27-12-40-27_small.wav,    1875.04,     10.00,    0.5136
../audio/2024-09-27-12-40-28_large.wav,    1875.04,     10.00,    0.4839
../audio/2024-09-27-12-40-29_small.wav,     375.04,      2.00,    0.1629
../audio/2024-09-27-12-40-30_small.wav,     562.54,      3.00,     0.162
../audio/2024-09-27-12-40-31_small.wav,     750.04,      4.00,      0.17
