name,size,duration,elapsed
../audio/2024-09-27-11-10-04_small.wav,     375.04,      2.00,    0.1477
../audio/2024-09-27-11-11-59_small.wav,     187.54,      1.00,   0.07695
../audio/2024-09-27-11-12-00_small.wav,     375.04,      2.00,    0.1518
../audio/2024-09-27-11-12-01_small.wav,     562.54,      3.00,    0.1694
../audio/2024-09-27-11-12-02_small.wav,     750.04,      4.00,    0.1846
../audio/2024-09-27-11-12-03_small.wav,     937.54,      5.00,     0.197
../audio/2024-09-27-11-12-04_small.wav,    1125.04,      6.00,    0.2403
../audio/2024-09-27-11-12-05_small.wav,    1312.54,      7.00,    0.2444
../audio/2024-09-27-11-12-06_small.wav,    1500.04,      8.00,    0.2253
../audio/2024-09-27-11-12-07_small.wav,    1687.54,      9.00,    0.2863
../audio/2024-09-27-11-12-08_large.wav,    1875.04,     10.00,    0.2203
../audio/2024-09-27-11-12-08_small.wav,    1875.04,     10.00,    0.2891
../audio/2024-09-27-11-12-09_large.wav,    2012.04,     10.73,     0.295
../audio/2024-09-27-11-12-09_small.wav,    2012.04,     10.73,    0.3748
../audio/2024-09-27-11-15-29_small.wav,     187.54,      1.00,     0.113
../audio/2024-09-27-11-15-30_small.wav,     375.04,      2.00,    0.1254
../audio/2024-09-27-11-15-31_small.wav,     468.79,      2.50,    0.1299
../audio/2024-09-27-11-15-32_small.wav,     750.04,      4.00,    0.1253
../audio/2024-09-27-11-15-33_small.wav,     937.54,      5.00,    0.1505
../audio/2024-09-27-11-15-34_small.wav,    1125.04,      6.00,    0.1775
../audio/2024-09-27-11-15-35_small.wav,    1312.54,      7.00,    0.1782
../audio/2024-09-27-11-15-36_small.wav,    1434.54,      7.65,    0.2546
../audio/2024-09-27-11-16-24_small.wav,      93.79,      0.50,   0.06196
../audio/2024-09-27-11-16-25_small.wav,     375.04,      2.00,    0.1235
../audio/2024-09-27-11-16-26_small.wav,     468.79,      2.50,    0.1478
../audio/2024-09-27-11-16-27_small.wav,     750.04,      4.00,    0.1467
../audio/2024-09-27-11-16-28_small.wav,     843.79,      4.50,    0.1438
../audio/2024-09-27-11-16-29_small.wav,    1059.54,      5.65,    0.1963
../audio/2024-09-27-11-21-05_small.wav,      93.79,      0.50,    0.1016
../audio/2024-09-27-11-21-06_small.wav,     187.54,      1.00,     0.069
../audio/2024-09-27-11-21-07_small.wav,     281.29,      1.50,    0.1311
../audio/2024-09-27-11-21-08_small.wav,     375.04,      2.00,     0.131
../audio/2024-09-27-11-21-10_small.wav,     562.54,      3.00,    0.1964
../audio/2024-09-27-11-21-11_small.wav,    1125.04,      6.00,     0.222
../audio/2024-09-27-11-21-12_small.wav,    1312.54,      7.00,    0.1864
../audio/2024-09-27-11-21-13_small.wav,    1500.04,      8.00,    0.1924
../audio/2024-09-27-11-21-14_small.wav,    1687.54,      9.00,    0.1472
../audio/2024-09-27-11-21-16_small.wav,    1781.29,      9.50,    0.1619
../audio/2024-09-27-11-21-18_large.wav,    1875.04,     10.00,    0.1632
../audio/2024-09-27-11-21-18_small.wav,    1875.04,     10.00,     0.148
../audio/2024-09-27-11-21-22_large.wav,    2156.29,     11.50,    0.1531
../audio/2024-09-27-11-21-22_small.wav,    2156.29,     11.50,    0.1455
../audio/2024-09-27-11-21-23_large.wav,    2250.04,     12.00,    0.1514
../audio/2024-09-27-11-21-23_small.wav,    2250.04,     12.00,    0.1429
../audio/2024-09-27-11-21-30_large.wav,    2531.29,     13.50,    0.1581
../audio/2024-09-27-11-21-30_small.wav,    2531.29,     13.50,    0.1497
../audio/2024-09-27-11-21-31_large.wav,    3000.04,     16.00,    0.1404
../audio/2024-09-27-11-21-31_small.wav,    3000.04,     16.00,    0.1565
../audio/2024-09-27-11-21-48_small.wav,    1687.54,      9.00,   0.08526
../audio/2024-09-27-11-21-49_large.wav,    3375.04,     18.00,   0.09828
../audio/2024-09-27-11-21-49_small.wav,    3375.04,     18.00,   0.09094
../audio/2024-09-27-11-21-50_large.wav,    3937.54,     21.00,    0.1084
../audio/2024-09-27-11-21-50_small.wav,    3937.54,     21.00,   0.09756
../audio/2024-09-27-11-21-51_large.wav,    4125.04,     22.00,    0.1021
../audio/2024-09-27-11-21-51_small.wav,    4125.04,     22.00,   0.09909
../audio/2024-09-27-11-21-52_large.wav,    4312.54,     23.00,   0.09818
../audio/2024-09-27-11-21-52_small.wav,    4312.54,     23.00,   0.09724
../audio/2024-09-27-11-21-53_large.wav,    4500.04,     24.00,    0.2173
../audio/2024-09-27-11-21-53_small.wav,    4500.04,     24.00,    0.2539
../audio/2024-09-27-11-21-54_large.wav,    4687.54,     25.00,     0.296
../audio/2024-09-27-11-21-54_small.wav,    4781.29,     25.50,    0.2916
../audio/2024-09-27-11-21-55_large.wav,    5062.54,     27.00,    0.1594
../audio/2024-09-27-11-21-55_small.wav,    5156.29,     27.50,    0.1679
../audio/2024-09-27-11-21-56_large.wav,    5437.54,     29.00,    0.1837
../audio/2024-09-27-11-21-56_small.wav,    5531.29,     29.50,    0.1643
../audio/2024-09-27-11-21-57_large.wav,    5812.54,     31.00,    0.2043
../audio/2024-09-27-11-21-57_small.wav,    5812.54,     31.00,    0.1887
